transaction_id,company_id,supplier_id,category,amount,transaction_date,payment_type,region
74,15,10,Travel,828.14,2024-12-15,Corporate Card,APAC
75,15,9,Travel,187.52,2024-04-07,Corporate Card,APAC
76,16,5,Logistics,454.49,2024-05-02,Corporate Card,APAC
77,4,9,Logistics,97.13,2024-01-06,Virtual Card,APAC
78,17,2,SaaS,358.29,2024-01-21,Corporate Card,APAC
79,5,1,Logistics,213.07,2024-07-30,Virtual Card,APAC
80,12,5,Operations,242.4,2024-02-19,Corporate Card,APAC
81,9,4,Travel,837.57,2024-01-22,Virtual Card,APAC
82,12,10,Operations,563.86,2024-06-28,Corporate Card,APAC
83,16,14,Travel,141.06,2024-12-16,Corporate Card,APAC
84,14,2,SaaS,974.27,2024-09-24,Corporate Card,APAC
85,19,14,Operations,1434.18,2024-05-26,Corporate Card,APAC
86,8,7,Travel,46.03,2024-11-20,Corporate Card,APAC
87,4,3,Travel,505.18,2024-03-21,Corporate Card,APAC
88,13,3,IT Hardware,96.39,2024-11-28,Corporate Card,APAC
89,13,7,Logistics,743.08,2024-08-29,Corporate Card,APAC
90,16,1,IT Hardware,558.86,2024-10-24,Corporate Card,APAC
91,9,5,SaaS,343.97,2024-01-06,Corporate Card,APAC
92,7,14,IT Hardware,458.88,2024-03-28,Corporate Card,APAC
93,7,7,SaaS,489.44,2024-07-28,Corporate Card,APAC
94,13,2,SaaS,409.31,2024-02-05,Corporate Card,APAC
95,8,8,Travel,340.65,2024-12-05,Corporate Card,APAC
96,18,10,IT Hardware,639.4,2024-11-20,Virtual Card,APAC
97,11,3,IT Hardware,571.4,2024-04-12,Corporate Card,APAC
98,16,9,Operations,858.0,2024-05-27,Virtual Card,APAC
99,6,10,Travel,187.8,2024-11-01,Corporate Card,APAC
100,5,4,Operations,265.24,2024-03-19,Corporate Card,APAC
101,10,19,Logistics,789.24,2024-01-20,Corporate Card,APAC
102,10,8,SaaS,3096.38,2024-06-22,Corporate Card,APAC
103,1,9,Operations,298.54,2024-06-03,Corporate Card,APAC
104,3,5,IT Hardware,113.95,2024-03-02,Corporate Card,APAC
105,13,9,Travel,181.72,2024-04-20,Corporate Card,APAC
106,7,11,Operations,526.87,2024-01-18,Corporate Card,APAC
107,9,15,Travel,84.83,2024-08-07,Virtual Card,APAC
108,3,4,Operations,579.1,2024-07-12,Corporate Card,APAC
109,11,2,SaaS,860.41,2024-12-09,Corporate Card,APAC
110,15,15,Logistics,1166.23,2024-08-24,Virtual Card,APAC
111,18,15,Travel,655.25,2024-03-27,Virtual Card,APAC
112,7,1,SaaS,191.76,2024-05-24,Corporate Card,APAC
113,11,5,SaaS,473.91,2024-11-30,Corporate Card,APAC
114,18,5,SaaS,709.28,2024-06-10,Corporate Card,APAC
115,6,5,SaaS,450.7,2024-08-08,Virtual Card,APAC
116,16,1,Operations,87.46,2024-11-18,Corporate Card,APAC
117,18,6,SaaS,230.61,2024-02-15,Corporate Card,APAC
118,13,13,IT Hardware,269.79,2024-02-21,Corporate Card,APAC
119,10,1,Travel,318.6,2024-08-16,Corporate Card,APAC
120,9,14,Travel,372.61,2024-03-04,Corporate Card,APAC
121,16,2,Travel,218.46,2024-03-01,Corporate Card,APAC
122,6,12,SaaS,383.43,2024-06-05,Corporate Card,APAC
123,10,3,Travel,170.65,2024-09-18,Corporate Card,APAC
124,5,3,Operations,337.99,2024-01-27,Corporate Card,APAC
125,13,6,Operations,313.45,2024-12-19,Corporate Card,APAC
126,10,2,Logistics,476.11,2024-04-21,Corporate Card,APAC
127,12,8,Travel,261.1,2024-09-09,Corporate Card,APAC
128,7,10,IT Hardware,290.46,2024-05-25,Virtual Card,APAC
129,2,8,Travel,1360.27,2024-05-08,Corporate Card,APAC
130,12,10,IT Hardware,236.1,2024-08-01,Corporate Card,APAC
131,20,9,IT Hardware,261.5,2024-12-15,Corporate Card,APAC
132,13,10,SaaS,1877.45,2024-02-15,Virtual Card,APAC
133,13,8,Logistics,260.46,2024-12-02,Corporate Card,APAC
134,14,7,Travel,378.17,2024-12-20,Virtual Card,APAC
135,5,3,IT Hardware,726.65,2024-11-06,Corporate Card,APAC
136,8,4,SaaS,329.9,2024-06-17,Corporate Card,APAC
137,10,11,SaaS,757.82,2024-03-22,Corporate Card,APAC
138,7,4,SaaS,379.04,2024-12-12,Corporate Card,APAC
139,16,4,IT Hardware,165.62,2024-02-11,Corporate Card,APAC
140,12,7,Travel,424.09,2024-08-20,Corporate Card,APAC
141,19,18,IT Hardware,350.53,2024-11-28,Virtual Card,APAC
142,17,7,Operations,262.96,2024-11-15,Virtual Card,APAC
143,6,4,Travel,342.26,2024-09-17,Virtual Card,APAC
144,4,2,SaaS,128.86,2024-11-15,Corporate Card,APAC
145,14,3,SaaS,149.26,2024-12-04,Corporate Card,APAC
146,1,1,Logistics,391.78,2024-08-09,Corporate Card,APAC
147,2,7,Travel,941.84,2024-08-25,Corporate Card,APAC
148,14,3,SaaS,807.49,2024-05-22,Corporate Card,APAC
149,9,9,Operations,485.1,2024-07-08,Corporate Card,APAC
150,15,12,Operations,696.06,2024-08-15,Corporate Card,APAC
151,14,8,Operations,1259.09,2024-07-20,Corporate Card,APAC
152,10,4,Operations,293.6,2024-12-11,Corporate Card,APAC
153,11,10,Travel,361.15,2024-02-01,Corporate Card,APAC
154,1,15,IT Hardware,268.12,2024-08-06,Corporate Card,APAC
155,3,16,SaaS,217.68,2024-11-05,Corporate Card,APAC
156,17,8,IT Hardware,443.19,2024-03-07,Corporate Card,APAC
157,7,9,IT Hardware,285.15,2024-09-30,Corporate Card,APAC
158,19,1,IT Hardware,252.55,2024-11-01,Virtual Card,APAC
159,10,6,Travel,431.84,2024-01-13,Corporate Card,APAC
160,10,15,SaaS,434.11,2024-03-16,Corporate Card,APAC
161,14,8,Travel,472.49,2024-08-04,Virtual Card,APAC
162,12,9,Operations,256.5,2024-09-01,Corporate Card,APAC
163,2,7,SaaS,158.52,2024-04-04,Corporate Card,APAC
164,15,10,SaaS,317.32,2024-09-26,Corporate Card,APAC
165,17,6,Operations,275.42,2024-05-04,Corporate Card,APAC
166,17,8,Travel,652.6,2024-09-18,Corporate Card,APAC
167,18,4,Travel,519.03,2024-05-17,Corporate Card,APAC
168,15,14,SaaS,318.07,2024-02-09,Corporate Card,APAC
169,2,11,Travel,535.49,2024-01-17,Corporate Card,APAC
170,20,8,Travel,350.88,2024-05-09,Virtual Card,APAC
171,19,4,Operations,147.04,2024-07-01,Corporate Card,APAC
172,1,1,Travel,296.16,2024-09-22,Corporate Card,APAC
173,14,8,Logistics,401.67,2024-12-24,Corporate Card,APAC
174,11,5,Operations,438.38,2024-08-05,Corporate Card,APAC
175,9,14,Travel,616.91,2024-08-31,Corporate Card,APAC
176,2,1,Travel,312.34,2024-12-17,Corporate Card,APAC
177,5,10,IT Hardware,758.39,2024-08-24,Corporate Card,APAC
178,13,10,Operations,213.22,2024-09-11,Corporate Card,APAC
179,20,14,Travel,346.37,2024-03-11,Virtual Card,APAC
180,11,12,IT Hardware,438.46,2024-09-29,Virtual Card,APAC
181,8,16,IT Hardware,615.08,2024-05-17,Corporate Card,APAC
182,18,1,IT Hardware,367.38,2024-04-05,Corporate Card,APAC
183,16,2,SaaS,616.33,2024-08-27,Corporate Card,APAC
184,1,4,Logistics,960.41,2024-06-11,Corporate Card,APAC
185,19,12,SaaS,826.81,2024-06-23,Virtual Card,APAC
186,8,12,Operations,636.25,2024-12-19,Corporate Card,APAC
187,13,6,Travel,310.32,2024-08-04,Corporate Card,APAC
188,17,6,Travel,1290.49,2024-06-14,Corporate Card,APAC
189,1,5,Travel,1400.19,2024-03-16,Corporate Card,APAC
190,13,1,Operations,638.89,2024-04-05,Corporate Card,APAC
191,10,15,Logistics,629.77,2024-02-16,Virtual Card,APAC
192,15,14,SaaS,634.62,2024-01-01,Virtual Card,APAC
193,3,4,Travel,220.81,2024-01-10,Corporate Card,APAC
194,17,3,SaaS,880.34,2024-10-31,Virtual Card,APAC
195,12,1,SaaS,289.15,2024-04-20,Corporate Card,APAC
196,6,10,SaaS,677.0,2024-02-27,Virtual Card,APAC
197,17,9,SaaS,198.26,2024-06-11,Corporate Card,APAC
198,10,4,Travel,338.69,2024-09-18,Corporate Card,APAC
199,12,2,Operations,350.41,2024-08-05,Virtual Card,APAC
200,11,7,Operations,141.23,2024-12-09,Corporate Card,APAC
201,1,9,Travel,613.45,2024-11-04,Virtual Card,APAC
202,9,5,Travel,445.33,2024-12-27,Corporate Card,APAC
203,5,4,Travel,411.97,2024-03-08,Corporate Card,APAC
204,6,2,IT Hardware,834.5,2024-04-17,Virtual Card,APAC
205,12,9,IT Hardware,848.98,2024-11-16,Corporate Card,APAC
206,18,3,SaaS,550.36,2024-05-11,Virtual Card,APAC
207,15,17,Operations,376.43,2024-09-15,Corporate Card,APAC
208,11,9,Travel,286.69,2024-08-23,Corporate Card,APAC
209,17,3,SaaS,332.92,2024-01-10,Corporate Card,APAC
210,8,14,SaaS,526.47,2024-12-03,Corporate Card,APAC
211,16,2,Travel,482.8,2024-11-27,Corporate Card,APAC
212,19,4,SaaS,199.35,2024-03-12,Virtual Card,APAC
213,17,5,Operations,577.52,2024-07-09,Corporate Card,APAC
214,15,11,SaaS,253.45,2024-04-03,Corporate Card,APAC
215,16,9,Operations,305.33,2024-02-29,Corporate Card,APAC
216,14,9,Travel,449.35,2024-01-15,Corporate Card,APAC
217,20,10,Logistics,224.98,2024-10-23,Corporate Card,APAC
218,10,7,SaaS,204.98,2024-09-09,Corporate Card,APAC
219,14,5,Operations,487.4,2024-12-19,Corporate Card,APAC
220,4,8,SaaS,771.63,2024-08-15,Corporate Card,APAC
221,8,21,SaaS,329.24,2024-05-20,Corporate Card,APAC
222,18,3,Travel,470.59,2024-10-14,Virtual Card,APAC
223,11,9,Travel,420.35,2024-09-23,Virtual Card,APAC
224,1,8,Logistics,225.64,2024-10-28,Virtual Card,APAC
225,2,8,IT Hardware,405.33,2024-08-25,Virtual Card,APAC
226,12,6,SaaS,281.13,2024-03-20,Virtual Card,APAC
227,5,3,Travel,961.6,2024-06-12,Corporate Card,APAC
228,7,3,Operations,151.44,2024-08-23,Corporate Card,APAC
229,18,9,Operations,470.81,2024-10-23,Corporate Card,APAC
230,15,10,Travel,217.18,2024-11-13,Virtual Card,APAC
231,13,10,SaaS,196.78,2024-08-03,Corporate Card,APAC
232,12,9,SaaS,627.81,2024-05-05,Corporate Card,APAC
233,13,6,IT Hardware,188.83,2024-02-13,Corporate Card,APAC
234,17,1,IT Hardware,143.64,2024-08-03,Corporate Card,APAC
235,18,8,Travel,716.18,2024-10-26,Corporate Card,APAC
236,1,3,Travel,722.54,2024-03-08,Corporate Card,APAC
237,12,2,IT Hardware,584.91,2024-10-16,Virtual Card,APAC
238,2,9,Travel,298.45,2024-01-21,Corporate Card,APAC
239,9,6,Logistics,262.44,2024-05-15,Corporate Card,APAC
240,2,8,SaaS,237.18,2024-11-11,Virtual Card,APAC
241,16,5,Operations,154.33,2024-02-05,Corporate Card,APAC
242,3,12,Logistics,487.26,2024-02-16,Corporate Card,APAC
243,13,1,Travel,581.78,2024-01-21,Corporate Card,APAC
244,5,1,IT Hardware,519.48,2024-02-12,Corporate Card,APAC
245,13,1,IT Hardware,103.19,2024-02-11,Corporate Card,APAC
246,12,1,Travel,255.79,2024-06-02,Corporate Card,APAC
247,18,4,Logistics,307.99,2024-08-16,Corporate Card,APAC
248,19,2,Travel,562.53,2024-01-12,Corporate Card,APAC
249,19,12,IT Hardware,581.05,2024-05-25,Corporate Card,APAC
250,19,4,Travel,448.24,2024-01-03,Corporate Card,APAC
251,6,8,IT Hardware,482.71,2024-02-22,Corporate Card,APAC
252,8,6,IT Hardware,445.86,2024-02-02,Corporate Card,APAC
253,6,1,Operations,1173.05,2024-03-07,Corporate Card,APAC
254,6,5,SaaS,218.12,2024-11-05,Corporate Card,APAC
255,7,3,Operations,818.74,2024-01-31,Corporate Card,APAC
256,17,3,SaaS,712.55,2024-11-22,Corporate Card,APAC
257,11,1,Operations,154.78,2024-02-24,Corporate Card,APAC
258,15,5,Travel,165.42,2024-03-30,Corporate Card,APAC
259,5,1,Travel,173.52,2024-11-24,Corporate Card,APAC
260,15,1,SaaS,1176.75,2024-02-13,Corporate Card,APAC
261,7,20,Operations,297.6,2024-12-21,Corporate Card,APAC
262,14,8,Travel,131.94,2024-11-30,Corporate Card,APAC
263,3,22,Operations,199.05,2024-05-04,Corporate Card,APAC
264,13,9,SaaS,313.66,2024-08-26,Virtual Card,APAC
265,17,6,SaaS,702.31,2024-09-18,Corporate Card,APAC
266,15,9,Operations,573.51,2024-07-12,Corporate Card,APAC
267,6,9,Operations,247.59,2024-06-14,Corporate Card,APAC
268,9,9,IT Hardware,597.8,2024-01-10,Corporate Card,APAC
269,10,1,Travel,542.28,2024-10-03,Corporate Card,APAC
270,13,2,Travel,560.86,2024-12-07,Corporate Card,APAC
271,8,14,Logistics,545.54,2024-11-04,Corporate Card,APAC
272,15,4,Operations,464.54,2024-09-18,Corporate Card,APAC
273,7,3,Travel,386.2,2024-06-22,Corporate Card,APAC
274,3,7,Travel,343.55,2024-07-13,Corporate Card,APAC
275,6,10,Operations,182.06,2024-05-25,Corporate Card,APAC
276,18,14,Logistics,727.0,2024-12-02,Corporate Card,APAC
277,15,4,SaaS,696.03,2024-03-14,Corporate Card,APAC
278,10,11,Logistics,476.85,2024-06-11,Corporate Card,APAC
279,4,22,Operations,380.03,2024-02-21,Corporate Card,APAC
280,16,11,SaaS,380.45,2024-11-20,Virtual Card,APAC
281,1,7,SaaS,728.23,2024-12-12,Corporate Card,APAC
282,4,10,SaaS,113.83,2024-08-26,Virtual Card,APAC
283,7,7,Operations,871.05,2024-03-02,Corporate Card,APAC
284,1,8,SaaS,175.57,2024-06-12,Virtual Card,APAC
285,2,8,Travel,170.01,2024-12-14,Corporate Card,APAC
286,3,13,SaaS,670.9,2024-02-13,Virtual Card,APAC
287,12,14,SaaS,281.53,2024-03-05,Corporate Card,APAC
288,16,5,IT Hardware,375.47,2024-07-03,Corporate Card,APAC
289,12,3,Travel,947.65,2024-05-17,Virtual Card,APAC
290,5,11,Travel,438.95,2024-11-10,Corporate Card,APAC
291,9,2,SaaS,885.71,2024-02-17,Corporate Card,APAC
292,14,14,SaaS,814.3,2024-07-07,Corporate Card,APAC
293,12,8,Operations,548.91,2024-07-28,Corporate Card,APAC
294,8,4,Travel,428.72,2024-10-23,Corporate Card,APAC
295,8,17,IT Hardware,346.64,2024-09-05,Corporate Card,APAC
296,20,9,SaaS,806.25,2024-08-24,Corporate Card,APAC
297,8,9,Travel,202.19,2024-01-12,Corporate Card,APAC
298,14,8,Travel,398.1,2024-05-07,Virtual Card,APAC
299,19,8,SaaS,575.4,2024-06-30,Corporate Card,APAC
300,4,7,Operations,161.59,2024-06-06,Virtual Card,APAC
301,18,6,Travel,824.24,2024-07-04,Corporate Card,APAC
302,2,12,Travel,672.99,2024-07-12,Virtual Card,APAC
303,9,2,Logistics,315.95,2024-11-29,Corporate Card,APAC
304,16,9,IT Hardware,542.52,2024-01-03,Virtual Card,APAC
305,11,6,Travel,1016.92,2024-08-20,Corporate Card,APAC
306,19,8,Travel,819.41,2024-02-09,Virtual Card,APAC
307,18,7,SaaS,360.13,2024-07-01,Corporate Card,APAC
308,8,11,Travel,629.76,2024-04-23,Corporate Card,APAC
309,1,8,Travel,587.5,2024-07-15,Virtual Card,APAC
310,9,4,IT Hardware,787.64,2024-11-18,Virtual Card,APAC
311,14,6,SaaS,200.16,2024-09-05,Corporate Card,APAC
312,13,15,Travel,259.89,2024-05-27,Corporate Card,APAC
313,18,20,Travel,189.69,2024-08-15,Corporate Card,APAC
314,3,7,Travel,544.43,2024-01-15,Virtual Card,APAC
315,4,10,Operations,411.54,2024-03-23,Corporate Card,APAC
316,1,12,Travel,327.63,2024-02-04,Corporate Card,APAC
317,18,7,SaaS,296.46,2024-11-29,Corporate Card,APAC
318,12,3,IT Hardware,545.35,2024-07-05,Virtual Card,APAC
319,2,4,SaaS,437.38,2024-03-29,Corporate Card,APAC
320,6,8,IT Hardware,185.84,2024-05-02,Corporate Card,APAC
321,6,6,SaaS,221.7,2024-10-01,Corporate Card,APAC
322,17,4,SaaS,489.88,2024-10-01,Virtual Card,APAC
323,10,15,Travel,332.41,2024-12-07,Virtual Card,APAC
324,20,8,IT Hardware,361.11,2024-09-04,Virtual Card,APAC
325,12,8,Logistics,182.85,2024-03-27,Virtual Card,APAC
326,19,4,SaaS,243.4,2024-05-18,Virtual Card,APAC
327,3,6,Logistics,522.98,2024-06-24,Corporate Card,APAC
328,16,2,Travel,275.53,2024-03-12,Corporate Card,APAC
329,9,13,Travel,445.15,2024-02-12,Corporate Card,APAC
330,17,11,Operations,345.36,2024-03-12,Corporate Card,APAC
331,11,2,Travel,177.83,2024-05-02,Corporate Card,APAC
332,1,6,IT Hardware,665.37,2024-01-26,Virtual Card,APAC
333,14,3,Operations,400.02,2024-10-05,Virtual Card,APAC
334,3,10,Travel,578.61,2024-01-21,Corporate Card,APAC
335,4,4,Operations,510.8,2024-06-01,Corporate Card,APAC
336,10,10,SaaS,418.45,2024-02-09,Corporate Card,APAC
337,16,10,SaaS,576.99,2024-12-14,Virtual Card,APAC
338,14,22,Logistics,385.84,2024-12-30,Corporate Card,APAC
339,7,22,IT Hardware,226.24,2024-03-05,Corporate Card,APAC
340,10,2,Travel,138.45,2024-06-23,Virtual Card,APAC
341,10,9,SaaS,804.43,2024-05-13,Virtual Card,APAC
342,10,2,Travel,299.93,2024-03-20,Corporate Card,APAC
343,5,4,Travel,190.46,2024-05-14,Corporate Card,APAC
344,9,12,SaaS,863.5,2024-04-23,Corporate Card,APAC
345,13,6,Travel,339.06,2024-11-14,Corporate Card,APAC
346,3,8,Travel,359.32,2024-02-22,Corporate Card,APAC
347,5,5,Travel,651.21,2024-05-13,Corporate Card,APAC
348,6,1,Travel,354.94,2024-05-23,Virtual Card,APAC
349,16,17,IT Hardware,493.41,2024-12-01,Corporate Card,APAC
350,4,3,Logistics,762.77,2024-10-20,Virtual Card,APAC
351,6,2,Operations,757.74,2024-02-14,Corporate Card,APAC
352,19,15,Travel,549.51,2024-10-14,Corporate Card,APAC
353,15,9,Travel,870.77,2024-09-24,Virtual Card,APAC
354,15,3,Travel,334.97,2024-08-30,Virtual Card,APAC
355,5,11,Logistics,1107.72,2024-05-20,Corporate Card,APAC
356,20,6,Travel,394.12,2024-04-28,Corporate Card,APAC
357,19,8,Travel,166.93,2024-03-14,Corporate Card,APAC
358,13,3,Operations,1142.03,2024-01-31,Corporate Card,APAC
359,6,9,SaaS,756.65,2024-11-01,Virtual Card,APAC
360,15,10,Operations,208.3,2024-05-29,Corporate Card,APAC
361,6,5,IT Hardware,373.25,2024-11-25,Corporate Card,APAC
362,12,14,Travel,409.65,2024-12-25,Virtual Card,APAC
363,3,5,Travel,151.94,2024-01-20,Corporate Card,APAC
364,17,9,Travel,831.73,2024-04-04,Virtual Card,APAC
365,10,14,IT Hardware,392.23,2024-07-09,Corporate Card,APAC
366,20,4,SaaS,139.03,2024-01-09,Corporate Card,APAC
367,3,7,IT Hardware,727.81,2024-03-14,Corporate Card,APAC
368,19,9,IT Hardware,407.48,2024-09-24,Virtual Card,APAC
369,11,6,SaaS,174.05,2024-01-20,Virtual Card,APAC
370,5,3,Operations,280.29,2024-02-05,Virtual Card,APAC
371,4,13,Operations,1433.32,2024-07-05,Corporate Card,APAC
372,5,7,SaaS,441.09,2024-04-01,Corporate Card,APAC
373,9,5,SaaS,465.61,2024-02-08,Corporate Card,APAC
374,8,12,Travel,596.45,2024-10-20,Corporate Card,APAC
375,11,7,Operations,270.45,2024-04-20,Corporate Card,APAC
376,17,8,IT Hardware,466.57,2024-07-14,Corporate Card,APAC
377,3,5,SaaS,546.59,2024-05-12,Corporate Card,APAC
378,8,10,SaaS,258.76,2024-12-03,Corporate Card,APAC
379,11,4,Travel,332.92,2024-02-27,Corporate Card,APAC
380,9,9,SaaS,262.83,2024-08-11,Virtual Card,APAC
381,5,5,SaaS,474.78,2024-01-08,Virtual Card,APAC
382,1,5,IT Hardware,799.85,2024-10-18,Corporate Card,APAC
383,18,2,SaaS,764.54,2024-06-26,Virtual Card,APAC
384,17,15,IT Hardware,911.33,2024-11-02,Corporate Card,APAC
385,18,3,IT Hardware,371.5,2024-08-25,Corporate Card,APAC
386,17,6,SaaS,323.25,2024-01-14,Corporate Card,APAC
387,11,17,IT Hardware,357.47,2024-08-15,Corporate Card,APAC
388,19,4,Travel,337.6,2024-05-05,Corporate Card,APAC
389,1,2,Operations,898.02,2024-08-16,Virtual Card,APAC
390,3,1,SaaS,583.62,2024-08-25,Corporate Card,APAC
391,16,2,IT Hardware,384.05,2024-10-24,Corporate Card,APAC
392,18,10,Logistics,500.89,2024-03-05,Virtual Card,APAC
393,11,8,SaaS,665.94,2024-07-26,Corporate Card,APAC
394,1,19,SaaS,1064.6,2024-06-27,Corporate Card,APAC
395,1,5,SaaS,392.1,2024-12-04,Virtual Card,APAC
396,3,10,SaaS,600.69,2024-01-05,Corporate Card,APAC
397,4,5,Travel,393.04,2024-09-01,Corporate Card,APAC
398,10,9,Travel,296.71,2024-07-31,Corporate Card,APAC
399,4,5,Operations,151.42,2024-09-16,Corporate Card,APAC
400,7,6,Travel,363.44,2024-06-23,Corporate Card,APAC
401,14,8,Travel,285.16,2024-05-28,Virtual Card,APAC
402,20,4,Travel,606.25,2024-09-18,Virtual Card,APAC
403,12,3,SaaS,316.0,2024-01-04,Corporate Card,APAC
404,12,6,IT Hardware,905.13,2024-12-15,Corporate Card,APAC
405,5,10,Logistics,292.08,2024-01-19,Corporate Card,APAC
406,3,5,Operations,794.5,2024-12-07,Corporate Card,APAC
407,8,4,IT Hardware,321.12,2024-01-17,Virtual Card,APAC
408,10,4,Travel,471.8,2024-12-01,Corporate Card,APAC
409,11,14,Travel,263.23,2024-11-27,Corporate Card,APAC
410,9,12,Travel,126.09,2024-10-25,Corporate Card,APAC
411,7,13,Operations,144.2,2024-02-11,Corporate Card,APAC
412,18,15,Travel,308.35,2024-08-06,Corporate Card,APAC
413,17,4,Travel,828.82,2024-07-08,Virtual Card,APAC
414,8,14,Operations,346.17,2024-03-17,Corporate Card,APAC
415,5,4,Travel,718.88,2024-08-27,Corporate Card,APAC
416,15,3,SaaS,386.19,2024-11-18,Corporate Card,APAC
417,4,4,Travel,433.35,2024-02-02,Corporate Card,APAC
418,17,3,Operations,215.94,2024-12-29,Corporate Card,APAC
419,15,19,Travel,551.33,2024-12-20,Corporate Card,APAC
420,13,2,Logistics,518.5,2024-02-17,Corporate Card,APAC
421,5,2,Operations,185.3,2024-05-19,Corporate Card,APAC
422,17,11,Travel,251.44,2024-01-29,Corporate Card,APAC
423,9,1,SaaS,176.73,2024-07-13,Corporate Card,APAC
